ROOT Styles Loaded from rootlogon.
Beginning new ROOT session.


Processing ALLDrawDist.C...
18.55   18.65
1.1361   756238
18.9146  1.88483e+07   1.82753e+07
18.8712  1.11624e+07   1.18666e+07
18.8682  1.37947e+07   1.4756e+07
18.9042  1.90021e+07   1.88336e+07
18.8895  1.12893e+07   1.15427e+07
18.8992  1.79106e+07   1.79397e+07
18.8569  2.65634e+07   2.91088e+07
18.9407  1.77122e+07   1.62482e+07
18.9479  1.84144e+07   1.66371e+07
18.8776  8.57278e+06   8.98904e+06
18.8665  1.17754e+07   1.2643e+07
18.9055  2.42784e+07   2.39969e+07
18.8765  1.0323e+07   1.08512e+07
18.9328  1.06202e+07   9.90725e+06
18.9247  1.546e+07   1.46702e+07
18.8609  1.87494e+07   2.03698e+07
18.9452  1.30104e+07   1.182e+07
18.8861  1.27319e+07   1.3113e+07
18.9097  1.79283e+07   1.7563e+07
18.8676  2.41902e+07   2.59082e+07
18.9009  1.54166e+07   1.5388e+07
18.9426  1.32609e+07   1.2115e+07
18.9233  1.41059e+07   1.34271e+07
18.8831  1.75019e+07   1.81407e+07
18.8806  2.83666e+07   2.95585e+07
18.8747  2.6543e+07   2.80087e+07
18.9161  1.89674e+07   1.83308e+07
18.9266  2.10206e+07   1.98664e+07
18.8974  2.21576e+07   2.228e+07
18.8852  2.49415e+07   2.57352e+07
18.9023  1.73829e+07   1.72976e+07
18.8891  1.203e+07   1.23107e+07
18.8986  1.51541e+07   1.52007e+07
18.8636  1.82738e+07   1.97395e+07
18.9407  1.73418e+07   1.59077e+07
18.8513  1.51151e+07   1.67583e+07
18.8923  2.09618e+07   2.13072e+07
18.8731  1.94378e+07   2.05769e+07
18.9454  1.38034e+07   1.25359e+07
18.8562  2.79422e+07   3.06637e+07
18.912  2.24539e+07   2.18916e+07
18.8536  1.20999e+07   1.33511e+07
18.9286  2.06315e+07   1.94174e+07
18.9121  1.78397e+07   1.73879e+07
18.8513  1.59869e+07   1.77258e+07
18.8885  1.30582e+07   1.33795e+07
18.9328  1.74143e+07   1.62437e+07
18.9457  1.84813e+07   1.67734e+07
18.8803  1.35488e+07   1.4128e+07
18.9365  1.57871e+07   1.461e+07
18.8865  2.0358e+07   2.09512e+07
18.8547  1.44403e+07   1.58974e+07
18.8627  1.37069e+07   1.48347e+07
18.9213  2.359e+07   2.25498e+07
18.9331  2.4053e+07   2.24231e+07
18.8793  2.59004e+07   2.70639e+07
18.8855  1.56349e+07   1.61248e+07
18.9384  2.28826e+07   2.10914e+07
18.8571  1.98914e+07   2.17854e+07
18.8578  2.18053e+07   2.38471e+07
18.9115  2.00409e+07   1.9558e+07
18.8636  2.13519e+07   2.30639e+07
18.9368  1.5128e+07   1.39909e+07
18.8673  1.01368e+07   1.08643e+07
18.9231  1.98262e+07   1.88802e+07
18.9086  1.95034e+07   1.91504e+07
18.8953  8.803e+06   8.89117e+06
18.9257  1.02816e+07   9.73586e+06
18.8862  1.33498e+07   1.3745e+07

18.9  70
1.74555e+07  1.75919e+07
4.85197e+06  5.13988e+06
18.95   19.05
1.08015   2.32237e+06
18.9976  2.5744e+07   2.58728e+07
18.9835  1.5524e+07   1.60785e+07
19.0276  2.69214e+07   2.53925e+07
19.0412  3.26015e+07   2.98739e+07
18.9532  2.06674e+07   2.28223e+07
18.9628  1.50417e+07   1.6276e+07
18.9654  2.32869e+07   2.50612e+07
19.0159  2.23953e+07   2.16532e+07
18.996  2.11688e+07   2.13478e+07
19.0261  3.5605e+06   3.3691e+06
19.0388  2.58388e+07   2.37989e+07
18.9801  2.31351e+07   2.41311e+07
18.9843  2.14577e+07   2.21864e+07
19.0227  2.55038e+07   2.43026e+07
18.966  2.19285e+07   2.357e+07
19.046  2.2753e+07   2.06374e+07
18.9569  2.60592e+07   2.85516e+07
18.9815  1.86739e+07   1.94227e+07
18.96  2.93471e+07   3.19455e+07
18.9987  2.65563e+07   2.66306e+07
18.971  3.25516e+07   3.46132e+07
18.9741  2.66295e+07   2.81318e+07
19.026  3.19592e+07   3.02441e+07
19.0215  2.32444e+07   2.22078e+07
18.961  1.6782e+07   1.82273e+07
18.972  1.90354e+07   2.01999e+07
18.9529  2.15293e+07   2.37925e+07
19.0441  2.85465e+07   2.59989e+07
19.0103  2.17451e+07   2.12732e+07
18.9756  2.24439e+07   2.36353e+07
18.9867  2.81407e+07   2.8943e+07
18.9892  1.86217e+07   1.90538e+07
18.9523  2.57479e+07   2.84873e+07
18.9895  2.18828e+07   2.2375e+07
18.959  2.27407e+07   2.48047e+07
18.9948  2.58419e+07   2.61301e+07
19.0114  2.95258e+07   2.88202e+07
18.9841  2.41381e+07   2.49658e+07
18.9841  2.6387e+07   2.7291e+07
18.9908  2.20472e+07   2.24833e+07
18.9647  4.37636e+07   4.71632e+07
18.9886  2.06835e+07   2.11888e+07
19.0167  2.2931e+07   2.21353e+07
19.0444  1.90912e+07   1.73738e+07
18.9984  1.38573e+07   1.39058e+07
19.0125  1.94509e+07   1.89411e+07
19.0122  1.89529e+07   1.8467e+07
19.0204  1.39507e+07   1.33614e+07
19.0316  2.81583e+07   2.63343e+07

19  49
2.32356e+07  2.35403e+07
6.03263e+06  6.28138e+06
19.05   19.15
1.06616   2.7139e+06
19.1248  4.17898e+07   3.96511e+07
19.1312  2.56812e+07   2.40393e+07
19.1039  4.42575e+07   4.38975e+07
19.1332  2.83716e+07   2.64407e+07
19.1324  1.9528e+07   1.8233e+07
19.0753  2.60512e+07   2.74543e+07
19.078  2.40232e+07   2.51709e+07
19.0864  3.83602e+07   3.94858e+07
19.1305  2.432e+07   2.27986e+07
19.1472  3.93816e+07   3.56312e+07
19.0531  1.75466e+07   1.93804e+07
19.11  2.35546e+07   2.3061e+07
19.0661  3.13073e+07   3.36396e+07
19.1269  2.39937e+07   2.26626e+07
19.058  3.04864e+07   3.33252e+07
19.0995  2.83137e+07   2.83453e+07
19.0799  3.0829e+07   3.21727e+07
19.0564  2.2946e+07   2.51677e+07
19.1052  3.26971e+07   3.23404e+07
19.1454  5.867e+06   5.32817e+06
19.0536  3.82967e+07   4.2258e+07
19.1126  3.17534e+07   3.09159e+07
19.1392  3.56493e+07   3.28035e+07
19.1358  3.41141e+07   3.16187e+07
19.113  2.434e+07   2.36766e+07
19.1111  2.33554e+07   2.28133e+07
19.1279  3.43161e+07   3.23465e+07
19.073  3.96326e+07   4.19711e+07
19.0584  3.32522e+07   3.63225e+07
19.0843  2.13801e+07   2.21049e+07
19.0544  2.27925e+07   2.51074e+07
19.0849  2.29958e+07   2.37437e+07
19.148  2.66953e+07   2.41132e+07
19.1369  4.95424e+07   4.5811e+07
19.0522  3.23262e+07   3.57743e+07
19.0646  2.50491e+07   2.69994e+07
19.1342  2.5086e+07   2.33333e+07
19.0573  3.28178e+07   3.59285e+07
19.0875  1.88887e+07   1.93966e+07

19.1  39
2.90151e+07  2.91093e+07
8.20732e+06  8.18979e+06
19.15   19.25
1.05217   3.10544e+06
19.2318  4.38792e+07   4.10156e+07
19.2075  3.23641e+07   3.18509e+07
19.1616  3.38164e+07   3.66872e+07
19.1568  2.36213e+07   2.58867e+07
19.1759  2.09334e+07   2.20306e+07
19.1703  3.58756e+07   3.82107e+07
19.1767  2.50222e+07   2.62902e+07
19.1568  2.50279e+07   2.74277e+07
19.2161  5.81994e+07   5.62436e+07
19.2089  2.8494e+07   2.79606e+07
19.1836  2.68135e+07   2.77633e+07
19.246  4.42878e+07   4.01677e+07
19.2211  4.13654e+07   3.95541e+07
19.2429  3.55212e+07   3.24345e+07
19.1938  2.09773e+07   2.12542e+07
19.2061  3.80995e+07   3.76137e+07
19.1733  2.7763e+07   2.93802e+07
19.1944  2.60686e+07   2.63824e+07
19.2282  3.82478e+07   3.60275e+07
19.1956  2.26628e+07   2.28734e+07
